2014-03-20 10:44:42.364 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [Quartz[0]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Normal Collection collector invoked
2014-03-20 10:44:42.364 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [Quartz[0]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Metrics collection processed
2014-03-20 10:49:42.368 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [Quartz[0]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Normal Collection collector invoked
2014-03-20 10:49:42.368 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [Quartz[0]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Metrics collection processed
2014-03-20 10:54:42.373 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [Quartz[0]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Normal Collection collector invoked
2014-03-20 10:54:42.373 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [Quartz[0]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Metrics collection processed
2014-03-20 10:59:42.367 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [Quartz[0]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Normal Collection collector invoked
2014-03-20 10:59:42.367 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [Quartz[0]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Metrics collection processed
2014-03-20 11:04:42.371 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [Quartz[0]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Normal Collection collector invoked
2014-03-20 11:04:42.371 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [Quartz[0]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Metrics collection processed
